Individuals,Clusters,Assignment,pop
KP0049_HU_SB10,Clust1,0.74076,SB10
KP0073_HU_SB10,Clust1,0.310972,SB10
KP0084_AC_SB10,Clust1,1e-05,SB10
KP0090_AC_SB10,Clust1,0.425978,SB10
KP0091_AC_SB10,Clust1,1e-05,SB10
KP0093_AC_SB10,Clust1,0.32138,SB10
KP0099_AC_SB10,Clust1,1e-05,SB10
KP0111_AC_SB10,Clust1,1e-05,SB10
KP0130_AC_SB05,Clust1,1e-05,SB05
KP0132_HU_SB05,Clust1,1e-05,SB05
KP0134_HU_SB05,Clust1,0.466893,SB05
KP0135_HU_SB05,Clust1,1e-05,SB05
KP0138_HU_SB05,Clust1,1e-05,SB05
KP0140_HU_SB05,Clust1,1e-05,SB05
KP0142_HU_SB05,Clust1,1e-05,SB05
KP0143_HU_SB05,Clust1,1e-05,SB05
KP0145_HU_SB05,Clust1,1e-05,SB05
KP0146_HU_SB05,Clust1,1e-05,SB05
KP0147_HU_SB05,Clust1,1e-05,SB05
KP0148_HU_SB05,Clust1,1e-05,SB05
KP0149_HU_SB05,Clust1,1e-05,SB05
KP0184_AC_SQ12,Clust1,1e-05,SQ12
KP0211_AC_SQ12,Clust1,0.258084,SQ12
KP0378_AC_WP20,Clust1,0.932304,WP20
KP0410_HU_CA05,Clust1,0.920428,CA05
KP0413_HU_CA05,Clust1,0.053127,CA05
KP0414_HU_CA05,Clust1,0.246488,CA05
KP0417_HU_CA05,Clust1,0.196585,CA05
KP0418_HU_CA05,Clust1,1e-05,CA05
KP0420_HU_CA05,Clust1,1e-05,CA05
KP0423_HU_CA05,Clust1,0.168446,CA05
KP0426_HU_CA05,Clust1,1e-05,CA05
KP0427_HU_CA05,Clust1,1e-05,CA05
KP0429_HU_CA05,Clust1,1e-05,CA05
KP0432_HU_CA05,Clust1,0.292373,CA05
KP0434_HU_CA05,Clust1,0.49702,CA05
KP0435_HU_CA05,Clust1,0.086,CA05
KP0436_HU_CA05,Clust1,1e-05,CA05
KP0437_HU_CA05,Clust1,1e-05,CA05
KP0438_HU_CA05,Clust1,1e-05,CA05
KP0439_HU_CA05,Clust1,1e-05,CA05
KP0474_AC_WP20,Clust1,0.99997,WP20
KP0540_AC_WP20,Clust1,0.99997,WP20
KP0552_AC_WP20,Clust1,1e-05,WP20
KP0582_AC_WP20,Clust1,0.821065,WP20
KP0639_LM_SB20,Clust1,0.328718,SB20
KP0739_HU_WP10,Clust1,0.99997,WP10
KP0744_HU_WP10,Clust1,1e-05,WP10
KP0764_HU_WP10,Clust1,0.99997,WP10
