,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0049_HU_SB10,KP0049_HU_SB10,SB10,SB,10-12,-3.27260849382808,0.11325285697533,1.25522425371777,0.276846391489897
KP0073_HU_SB10,KP0073_HU_SB10,SB10,SB,10-12,-2.51633291387541,0.438326742760467,0.330030089744571,2.43553915288522
KP0084_AC_SB10,KP0084_AC_SB10,SB10,SB,10-12,10.2021213689692,-1.47109664936206,-0.0870536764915595,0.0284297781382266
KP0090_AC_SB10,KP0090_AC_SB10,SB10,SB,10-12,-3.22520032151725,0.993413094355568,0.287496025232217,1.95243359145656
KP0091_AC_SB10,KP0091_AC_SB10,SB10,SB,10-12,9.94986441311428,-1.46625236510937,-0.0669964450164038,-0.118011710791066
KP0093_AC_SB10,KP0093_AC_SB10,SB10,SB,10-12,-3.89151769091512,-0.686861554820662,-0.373694329799173,1.74811517814359
KP0099_AC_SB10,KP0099_AC_SB10,SB10,SB,10-12,-4.24257654387151,-2.52772416494728,-1.7000464198517,2.43068598642019
KP0111_AC_SB10,KP0111_AC_SB10,SB10,SB,10-12,-5.0174055111582,-2.4182385512849,-1.69048741573751,2.69503066114039
KP0130_AC_SB05,KP0130_AC_SB05,SB05,SB,5,10.038035786314,-0.835625092612535,-0.00386666572131897,0.235833182771707
KP0132_HU_SB05,KP0132_HU_SB05,SB05,SB,5,9.42601519115021,-1.29123993527822,0.140992962161635,0.326288658294589
KP0134_HU_SB05,KP0134_HU_SB05,SB05,SB,5,-4.55689328388451,-1.7485676445877,0.299711800869056,3.75078399645087
KP0135_HU_SB05,KP0135_HU_SB05,SB05,SB,5,10.1912750901857,-1.77392606593926,0.202210461196555,0.387502312945713
KP0138_HU_SB05,KP0138_HU_SB05,SB05,SB,5,0.724550766914712,6.92604579471828,0.0791533187843047,2.16018333241246
KP0140_HU_SB05,KP0140_HU_SB05,SB05,SB,5,10.6862489136595,-1.9115162642754,-0.10244831332475,0.233894857070784
KP0142_HU_SB05,KP0142_HU_SB05,SB05,SB,5,9.99472636132694,-1.43279670560983,0.127310485281461,0.0822666557234157
KP0143_HU_SB05,KP0143_HU_SB05,SB05,SB,5,0.569632077837419,6.12021345740678,-1.54622329319168,0.84425678786275
KP0145_HU_SB05,KP0145_HU_SB05,SB05,SB,5,9.82852803987191,-1.62291609929495,0.018851147550589,-0.308586942402988
KP0146_HU_SB05,KP0146_HU_SB05,SB05,SB,5,10.1230754767637,-1.56372154366317,0.528853532391841,0.539730051678935
KP0147_HU_SB05,KP0147_HU_SB05,SB05,SB,5,10.5830782673021,-1.68794464253189,0.0910640115576149,-0.578681034470311
KP0148_HU_SB05,KP0148_HU_SB05,SB05,SB,5,9.14274138379957,-1.35982010358466,-0.0104355595263337,-0.666431009418601
KP0149_HU_SB05,KP0149_HU_SB05,SB05,SB,5,9.90606648589017,-1.63105856119609,0.248093238890511,0.0282707603985882
KP0184_AC_SQ12,KP0184_AC_SQ12,SQ12,SQ,10-12,-5.47562429485877,-2.46474820363564,-1.06486627176286,2.49418365697279
KP0211_AC_SQ12,KP0211_AC_SQ12,SQ12,SQ,10-12,-4.51733595431554,-1.45737232912869,-0.222234838236744,3.3838021481269
KP0378_AC_WP20,KP0378_AC_WP20,WP20,WP,20,-3.46591979804764,-1.40380277576344,1.51854901776237,-0.329158192469063
KP0410_HU_CA05,KP0410_HU_CA05,CA05,CA,5,-4.00091870154511,-1.27048039235478,2.09844399586124,0.556585045701064
KP0413_HU_CA05,KP0413_HU_CA05,CA05,CA,5,-3.22141576156955,-0.597342344522856,-2.4625919494368,-0.334202577616126
KP0414_HU_CA05,KP0414_HU_CA05,CA05,CA,5,-4.12210232757398,-1.46227313337419,-1.48343869234349,-0.0948904107310938
KP0417_HU_CA05,KP0417_HU_CA05,CA05,CA,5,-4.66465051425303,-1.69882940061428,-0.547825555154263,0.534992721598011
KP0418_HU_CA05,KP0418_HU_CA05,CA05,CA,5,-4.19451522000884,-1.22541223378039,-4.10953811710729,-1.76227043394306
KP0420_HU_CA05,KP0420_HU_CA05,CA05,CA,5,-4.39062883436934,-2.13860947082949,-6.55880450935116,-2.59088128900376
KP0423_HU_CA05,KP0423_HU_CA05,CA05,CA,5,-3.61938274519097,-1.14282948612681,-1.96892504995139,-0.579192787639186
KP0426_HU_CA05,KP0426_HU_CA05,CA05,CA,5,-3.27725746607641,0.484455359575625,-4.90179129447757,-2.30626997385429
KP0427_HU_CA05,KP0427_HU_CA05,CA05,CA,5,-4.24438874660336,-2.00621740450816,-3.32603902088173,-1.01514894603634
KP0429_HU_CA05,KP0429_HU_CA05,CA05,CA,5,-5.11092255506914,-2.11881082039688,-2.51263591424184,0.478260104696546
KP0432_HU_CA05,KP0432_HU_CA05,CA05,CA,5,-2.82658010093359,-0.0341691010974934,-1.10362229389504,0.168182586242323
KP0434_HU_CA05,KP0434_HU_CA05,CA05,CA,5,-4.31444845368077,-1.195402296234,0.169623589458757,1.23583956652929
KP0435_HU_CA05,KP0435_HU_CA05,CA05,CA,5,-4.87348542562655,-2.40388526317456,-3.1431022088525,-1.84609787452265
KP0436_HU_CA05,KP0436_HU_CA05,CA05,CA,5,0.429856056038044,6.91716257967109,-0.316767237802785,-0.652474428755857
KP0437_HU_CA05,KP0437_HU_CA05,CA05,CA,5,1.05764669798969,7.0709995917789,-0.307189561021805,0.0951354822666823
KP0438_HU_CA05,KP0438_HU_CA05,CA05,CA,5,-4.93698593479126,-2.72988598286505,-0.956534051113437,1.59099656801052
KP0439_HU_CA05,KP0439_HU_CA05,CA05,CA,5,-4.56487660633037,-1.71921458789874,-3.91170453096162,-1.76614448703147
KP0474_AC_WP20,KP0474_AC_WP20,WP20,WP,20,-4.60126475319485,-1.65836214063926,2.80762009460207,-3.00665389834169
KP0540_AC_WP20,KP0540_AC_WP20,WP20,WP,20,-4.37576467850739,-1.38592694506751,1.22778616033566,-0.516653153060297
KP0552_AC_WP20,KP0552_AC_WP20,WP20,WP,20,-5.22549744400763,-3.21549552301079,-0.133835901239491,3.5867051165687
KP0582_AC_WP20,KP0582_AC_WP20,WP20,WP,20,-3.77796371535059,0.128549330724857,2.25737921761434,-2.10749356948627
KP0639_LM_SB20,KP0639_LM_SB20,SB20,SB,20,-4.84995783071753,-2.53228313136574,0.579420723448117,3.26192497866241
KP0739_HU_WP10,KP0739_HU_WP10,WP10,WP,10-12,-4.96523555135021,-1.94484414021131,1.98963830310311,-2.15667425010698
KP0744_HU_WP10,KP0744_HU_WP10,WP10,WP,10-12,0.754045956051629,8.71676009275073,-0.887395984775377,0.219008014594468
KP0764_HU_WP10,KP0764_HU_WP10,WP10,WP,10-12,-4.90288145537054,-1.84089677254088,2.57184654478074,-0.450385530792403
KP0768_HU_WP10,KP0768_HU_WP10,WP10,WP,10-12,1.22340140599033,8.63588218521315,-0.15334240932839,-0.348542834456284
KP0774_AC_WP10,KP0774_AC_WP10,WP10,WP,10-12,9.07104741742926,-1.40396358319587,0.295348398511463,-0.235152275263266
KP0775_AC_WP10,KP0775_AC_WP10,WP10,WP,10-12,9.78397251121717,-1.70238687007909,0.0241820336911024,-0.0323188252932928
KP0783_HU_WP10,KP0783_HU_WP10,WP10,WP,10-12,10.4979341850237,-1.63387823322046,-0.0266822514758305,0.0103854912432369
KP0785_AC_WP10,KP0785_AC_WP10,WP10,WP,10-12,-2.90275391868795,1.09159557946324,1.12500095306191,-0.805575693417023
KP0786_HU_WP10,KP0786_HU_WP10,WP10,WP,10-12,-1.38430043088818,4.00947338591704,1.00765087266161,-0.561278266720766
KP0789_HU_WP10,KP0789_HU_WP10,WP10,WP,10-12,-3.86853458310543,-1.50011249169412,2.362015358191,-2.11344845493622
KP0803_HU_WP10,KP0803_HU_WP10,WP10,WP,10-12,-3.68631596367341,-0.666782242983869,1.14188370201388,0.120520690912847
KP0805_HU_WP10,KP0805_HU_WP10,WP10,WP,10-12,-4.55051868965746,-1.38236946574239,1.7613729135632,-0.117324007035159
KP0814_HU_WP10,KP0814_HU_WP10,WP10,WP,10-12,-4.49259864568837,-1.63712358355994,1.47706763555667,-0.579459511022479
KP0818_HU_WP10,KP0818_HU_WP10,WP10,WP,10-12,11.2694928668945,-1.88003151103429,-0.282232416493611,-0.0831135753899862
KP0826_AC_WP10,KP0826_AC_WP10,WP10,WP,10-12,0.520899360075279,7.59688613041375,-0.117685227620218,2.20327122568665
KP0827_AC_WP10,KP0827_AC_WP10,WP10,WP,10-12,-3.3343935406901,0.70531035952006,1.4472750930282,-1.64097110957421
KP0829_AC_WP10,KP0829_AC_WP10,WP10,WP,10-12,-4.68246402721399,-1.67808474944626,2.81234968441154,-0.179880356720062
KP0831_HU_WP10,KP0831_HU_WP10,WP10,WP,10-12,-4.56121119896854,-2.187426939462,1.53365522018699,-0.875695189405564
KP0838_AC_WP10,KP0838_AC_WP10,WP10,WP,10-12,-4.33988773836076,-1.1451398301702,1.86323481115139,-1.11258383795916
KP0839_HU_WP10,KP0839_HU_WP10,WP10,WP,10-12,-2.85091076571969,1.84206702315919,1.21460435972993,-0.928483529764608
KP0841_AC_WP10,KP0841_AC_WP10,WP10,WP,10-12,-3.99570372480054,-1.58523901023131,1.32116110637837,-1.23284423562293
KP0845_AC_WP10,KP0845_AC_WP10,WP10,WP,10-12,-4.0855599808704,-1.53869380554803,1.52494718931392,-0.134890381603341
KP0847_HU_WP10,KP0847_HU_WP10,WP10,WP,10-12,-4.61825241539885,-1.44958495176684,3.20222535622526,-0.879209877975075
KP0850_AC_WP10,KP0850_AC_WP10,WP10,WP,10-12,-3.0956108684209,0.547423886203773,1.86058259176553,-2.20865981799875
KP0853_HU_WP10,KP0853_HU_WP10,WP10,WP,10-12,-2.82022372482613,2.07127674457069,0.803038921912748,-0.709028191989046
KP0859_HU_WP10,KP0859_HU_WP10,WP10,WP,10-12,-4.40815146908451,-1.75488300341087,1.34604453109676,-0.290088942365102
KP0875_AC_WP10,KP0875_AC_WP10,WP10,WP,10-12,-4.53134002308337,-1.96868496960123,1.14040593079407,-0.276003585962872
KP0876_HU_WP10,KP0876_HU_WP10,WP10,WP,10-12,-4.59773195432308,-1.55461977311915,1.12105229302935,-1.05868263057186
KP0877_HU_WP10,KP0877_HU_WP10,WP10,WP,10-12,-4.78127459101362,-1.8072542784326,2.67891058401958,-0.867569080011463
KP0886_AC_WP10,KP0886_AC_WP10,WP10,WP,10-12,10.7125719280258,-2.06855775791414,0.00703754952023631,0.325653763547793
KP0888_AC_WP10,KP0888_AC_WP10,WP10,WP,10-12,0.846917314912199,8.02739806664059,-0.305175255728864,-1.00151053336981
KP0899_LM_WP10,KP0899_LM_WP10,WP10,WP,10-12,-2.37834370193668,2.50339957979244,1.12716722847517,-0.66733605039216
KP0901_HU_WP10,KP0901_HU_WP10,WP10,WP,10-12,0.630850502112501,6.78602298032315,0.218333822990145,1.35288010019243
KP0903_HU_WP10,KP0903_HU_WP10,WP10,WP,10-12,-0.196425477789088,7.88547028810195,0.123883913911234,-0.968228645253154
